StationID,StationName,StateName
3893,Balaramapuram,KL
9725,Balasinor,GJ
2570,Balbleshwar,KA
4256,Baldiya,BR
2571,Balehonnur,KA
7216,Balehosur,KA
4257,Balesar,RJ
11237,Balesore,OR
226,Baleswar,OR
4259,Balgaum Bypass,KA
10077,Balharshah (Maharashtra),MH
9840,Baliguda,OR
7217,Balijakandriga,KA
9782,Balimela,OR
9812,Balisana,GJ
9255,Baliya,UP
3485,Balla manja,KA
7218,Ballamavati,KA
1057,Ballari,KA
9255,Ballia,UP
9887,Ballipalle,AP
2572,Balmer,TG
1392,Balotra,RJ
4260,Balrampur,UP
8517,Baltipur,WB
4261,Balurghat,WB
8267,Balussery,KL
4262,Balva,GJ
9771,Bamangam,GJ
4263,Bamanwada,GJ
9968,Bamnasa,GJ
4264,Bamnod,GJ
7928,Banaganapalli,AP
1393,Banahatti,KA
323,Banaras,UP
4265,Banas,KL
7219,Banavasi,KA
10283,Banbasa,UT
1394,Banda(UP),UP
9361,Bandakpur,MP
4266,Bandanwara,RJ
8345,Bandardwa,MH
278,Bandarulanka,AP
9793,Bandhabahal,OR
7220,Bandigadi,KA
7221,Bandipura,KA
4267,Bandra,MH
4268,Baneri,HP
7,Bangalore,KA
2573,Bangalore Intl Airport,KA
2573,Bangalore Kempegowda Intl Airport,KA
4076,Bangarupalyem,AP
705,Bangla,WB
9303,Bani,HR
4271,Baniagaon,CT
9462,Banikhet,HP
7222,Bankapur,KA
9420,Bankhandi,PB
7223,Bankikodla,KA
4272,Bannadi,KA
7224,Bannari,TN
4273,Bansi(UP),UP
8735,Banswada,AP
1397,Banswara,RJ
4274,Bantakal,KA
7717,Bantumilli,AP
9818,Bantva,GJ
9863,Bantwa Devli,GJ
1398,Bantwady,KA
1399,Bantwal,KA
9116,Bapada,GJ
17,Bapatla,AP
1400,Bar,PB
523,Barabanki,UP
4275,Baradiya,GJ
4276,Baragarh,OR
8435,Baramati,MH
9794,Baramundali,OR
4277,Baran,RJ
9117,Barapal,RJ
9795,Barbil(Odisha),OR
2574,Bardiya,GJ
1401,Bardoli,GJ
435,Bareilly,UP
2240,Barhi,JH
4278,Barhmavar,KA
4279,Bari Sadri,RJ
4280,Baripada,OR
2575,Barkur,KA
2576,Barmer,RJ
4281,Barnala,PB
672,Baroda,GJ
8352,Baroda -vadodara,GJ
4282,Baroda By Pass,GJ
9596,BarPatoli,GJ
727,Barshi,MH
9760,Barvada,GJ
4283,Barvala,GJ
4284,Barwaha,MP
4283,Barwala,GJ
9971,Barwani,MP
8576,Basara,TG
7765,Basarlapudi,AP
1403,Basavakalyan,KA
7229,Basavana Bagewadi,KA
10056,Basavani,KA
2357,Basavapatna,KA
4286,Bashi,UP
2493,Basmath,MH
4287,Basna,CT
4288,Baspa,GJ
7230,Basruru,KA
4289,Bassi,RJ
4290,Bastar,CT
9636,Bastawade,MH
367,Basti,UP
2577,Baswada,MP
1406,Batala,PB
1407,Bathal Gundu,TN
1407,Bathalagundu,TN
2578,Bathalapalli,AP
4292,Bathinda,PB
1407,Batlagundu,TN
2496,Battalanka,MH
8861,Battili,AP
5803,Battiprolu,AP
2579,Batva,GJ
9118,Bavadi,GJ
1408,Bavla,GJ
9119,Bawari,RJ
8905,Bayad,GJ
8736,Bayyaram,TG
1409,Bc Road,AP
4294,Beas,PB
4295,Beas (pb),PB
1410,Beawer,RJ
4299,Bediya,MP
2262,Beed,MH
4300,Beenaganj,MP
9365,Begamganj,MP
3515,Begar,KA
9120,Begun By Pass,RJ
7231,Begur,KL
4301,Begusarai,BR
2580,Behrod,KL
6044,Behror,RJ
1033,Bejai,KA
8543,Bekal,KL
10019,Bekkinakeri,KA
695,Belagavi,KA
1411,Belapur,MH
695,Belgaum,KA
3502,Belgaum Byepass,KA
8737,Bellampally,TG
9704,Bellampudi,AP
8261,Bellare,KA
1057,Bellary,KA
7233,Bellatti,KA
7234,Bellur Cross,KA
1412,Belman,KA
1413,Belthangady,KA
4303,Belthur,KA
4304,Belukurichi,TN
1414,Belur,KA
4305,Belurghat,WB
1415,Belvai,KA
7,Bengaluru,KA
4307,Benur,CT
7150,Berhampur,OR
2484,Bestavaripeta,AP
7236,Betageri,MH
4308,Betma,MP
4309,Bettiah,BR
9482,Betul,MP
9805,Bhabhar,GJ
1417,Bhachau,GJ
4311,Bhad,GJ
4312,Bhadara,MH
8906,Bhader(GJ),GJ
9669,Bhadgaon,MH
2581,Bhadiyadka,KL
2582,Bhadra,RJ
9121,Bhadra Patiya,RJ
7237,Bhadra Project,KA
445,Bhadrachalam,TG
1420,Bhadragiri,TG
4313,Bhadrajun,RJ
227,Bhadrak,OR
2583,Bhadravati,KA
9122,Bhadrawati,MH
8907,Bhadrod,GJ
4314,Bhadsoda,RJ
4315,Bhadthar,GJ
7239,Bhagavathy,KL
4316,Bhaibahan Nala,RJ
8446,Bhaindar,MH
8575,Bhainsa,TG
9481,Bhainsdehi,MP
4317,Bhairamgad,CT
9487,Bhakrawali,RJ
10178,Bhalchhel,GJ
2584,Bhalgam,GJ
1421,Bhalki,KA
7876,Bhalvav,GJ
10235,Bhamragarh,MH
7877,Bhancha,CT
1422,Bhandara,MH
8385,Bhandardara,MH
7878,Bhandariya,GJ
1423,Bhandup,MH
9778,Bhanjanagar,OR
2585,Bhanpura,MP
4318,Bhanpuri,CT
10078,Bhanupratappur (Chhattisgarh),CT
9557,Bhanvad,GJ
4319,Bhara,
4320,Bharanpur,MP
5809,Bharapar,GJ
544,Bharatpur,RJ
9384,Bharosa,MH
670,Bharuch,GJ
9477,Bharuch Bypass,GJ
9418,Bharwain,HP
4321,Bhatevar,RJ
2587,Bhatiya,GJ
1042,Bhatkal,KA
5767,Bhatnavilli,AP
9719,Bhavabhi Khijadiya,GJ
1425,Bhavani,TN
3622,Bhavani(Byepass),TN
4324,Bhavanipar,WB
1426,Bhavnagar,GJ
7879,Bhavnagar (by Pass),GJ
4325,Bhavnagar (jakatnaka),WB
9459,Bhawanagar,HP
4326,Bhawanipatna,OR
4327,Bhayandar,MH
4328,Bhayavadar,MH
4329,Bhel,TG
9796,Bhela,OR
9797,Bhelagaon,OR
4330,Bherod,DL
4332,Bherunda,RJ
7240,Bherya,KA
4333,Bhesada,RJ
1427,Bheshan,GJ
4334,Bhigwan,MH
4335,Bhikangoan,MP
5810,Bhilada,RJ
1428,Bhilai,CT
6748,Bhildi,GJ
4336,Bhilkuva,GJ
1429,Bhiloda,GJ
1430,Bhilwara,RJ
9349,Bhilwara - Delhi,DL
1431,Bhim,MH
467,Bhimadolu,AP
10090,Bhimanapalli (E.G),AP
9593,Bhimasar,GJ
8453,Bhimashankar Darshan,MH
79,Bhimavaram,AP
4338,Bhind,MP
4339,Bhinder,RJ
8908,Bhingrad,GJ
1432,Bhinmal,RJ
1433,Bhivandi,MH
4340,Bhiwani,HR
4341,Bhiyana,RJ
4342,Bhoganipur,UP
4343,Bhojrajsar,RJ
10236,Bhokar,MH
9531,Bhokardan,MH
10146,Bhongir,TG
10147,Bhongir Bypass,TG
10237,Bhoom,MH
1434,Bhopal,MP
10238,Bhor,MH
9123,Bhoringda,GJ
4344,Bhorsi,MH
9461,Bhota,HP
1435,Bhramavar,KA
215,Bhubaneswar,OR
2592,Bhudagumpa,NP
1437,Bhuj,GJ
4345,Bhuj (direct),GJ
4066,Bhujabalapatnam,AP
4347,Bhujpar,GJ
8436,Bhuleshwar,MH
3615,Bhuntar,HP
8742,Bhupalpally,TG
8909,Bhurkhiya,GJ
697,Bhusawal,MH
9868,Bhutdi,GJ
4348,Biaora,MP
9460,Biasar,HP
4349,Bibi,MH
4350,Bichhiya,MP
7241,Bicholim,TN
4351,Bidada,GJ
883,Bidar,KA
3516,Bidarugod,KA
1443,Bidkalkatte,KA
4352,Bidsar,RJ
2242,Bihar Sharif,BR
4353,Bijadi,KA
9097,Bijainagar,RJ
1292,Bijapur,KA
425,Bijnaur,UP
4354,Bijolia,RJ
9124,Bijoliya By Pass,RJ
1446,Bijoor,KA
4355,Bijur,MP
1447,Bikaner,MP
472,Bikkavolu,AP
9693,Biladi (Gujarat),GJ
1448,Bilagi,KA
416,Bilaspur(Himachal Pradesh),HP
7242,Biligiri Rangana Betta,KA
4356,Bilimora,GJ
1449,Bilkha,GJ
4357,Billara,GJ
10239,Biloli(Maharashtra),MH
2594,Bilwada,MP
467,Bimadolu,AP
4358,Bimitra,
4359,Binder,GJ
3895,Bir,HP
4360,Birpur,BR
7243,Birur,KA
7244,Birur Cross,KA
6365,Bishangarh,RJ
4361,Bisrasar,HR
4362,Bita,HR
7245,Bittangala,KA
4348,Biyavra,MP
2299,Black Bridge,AP
2596,Boat cruise,
10285,Bobbepalli,AP
5798,Bobbili,AP
7880,Bodhan,TG
1450,Bodi,TN
4363,Bodla,UP
4364,Bodwad,MH
10240,Boisar,MH
167,Bokaro,JH
4365,Bolangir,OR
4067,Bomdayekodu,AP
4366,Borada,GJ
10083,Boraj(Adilabad),TG
8910,Borala,MH
2597,Borana,RJ
10292,Bordi Samadhiyala,GJ
4367,Borgaon,MH
4368,Boriguma,OR
1451,Borivalli,MH
2599,Borsad,GJ
9969,Borvav,GJ
2600,Botad,GJ
8545,Bovikanam,KL
263,Brahmana Cheruvu,AP
474,Brahmanagudem,AP
7150,Brahmapur,OR
1039,Brahmavar,KA
7247,Brindavana,KA
4070,Buchireddypalem,AP
7881,Budhel,GJ
2358,Budugumpa Cross,KA
9519,Bugga,AP
